SurveyedAreaSqFt,TradePriceCAD
107.63999999999999,52090.61964735516
161.45999999999998,67058.70151078387
215.27999999999997,133399.0209604153
269.09999999999997,149415.90345277477
322.91999999999996,154968.47902588852
376.73999999999995,173994.8745728643
430.55999999999995,182310.34602638427
484.38,145025.50435724301
538.1999999999999,172152.20207386528
592.02,182377.3132335547
645.8399999999999,184312.57387499363
699.66,201484.30196114018
753.4799999999999,223341.66596640833
807.3,237017.6074265533
861.1199999999999,249809.224959863
914.9399999999999,268699.3025003384
968.76,278287.38808013115
1022.5799999999999,285923.9139159225
1076.3999999999999,317611.8234442836
1130.22,339128.43615494977
1184.04,360267.3295774648
1237.86,369599.31924882624
1291.6799999999998,389003.7652811736
1345.5,419024.060822898
1399.32,416060.55529411766
1453.1399999999999,427985.99999999994
1506.9599999999998,448109.112244898
1560.78,429084.06091370556
1614.6,454537.49999999994
1668.4199999999998,461582.24999999994
1722.2399999999998,453347.64705882355
1776.06,413425.7894736842
1829.8799999999999,470808.6885245901
1883.6999999999998,382833.2432432432
1937.52,463776.3157894736
1991.34,486762.0
2045.1599999999999,401876.24999999994
2098.98,345605.71428571426
2152.7999999999997,489859.6153846153
2260.44,463101.25
2368.08,549815.9999999999
2475.72,399475.4347826087
2583.3599999999997,569946.923076923
2691.0,634642.9411764706
2798.64,333370.12499999994
2906.2799999999997,534633.75
3013.9199999999996,358049.99999999994
3121.56,436015.0
3229.2,390413.99999999994
3336.8399999999997,458357.14285714284
3444.4799999999996,341774.99999999994
3552.12,422995.0
3659.7599999999998,138724.99999999997
3767.3999999999996,525450.0
3875.04,313542.85714285716
3982.68,425475.0
4090.3199999999997,542500.0
4197.96,565749.9999999999
4305.599999999999,330150.0
4413.24,434000.0
4520.88,384090.0
4628.5199999999995,897449.9999999999
4736.16,651000.0
4843.799999999999,326275.0
4951.44,526069.9999999999
5059.08,440200.0
5166.719999999999,341000.0
5274.36,16740.0
5382.0,496000.0
5489.639999999999,674250.0
5597.28,771899.9999999999
5812.5599999999995,864899.9999999999
5920.2,836999.9999999999
6243.12,306900.0
6350.759999999999,97340.0
6458.4,37200.0
6566.04,9300.0
6673.679999999999,334800.0
6781.32,195299.99999999997
6996.599999999999,140120.0
7104.24,116249.99999999999
7211.879999999999,511499.99999999994
7319.5199999999995,130664.99999999999
7534.799999999999,79050.0
7642.44,302249.99999999994
7965.36,372000.0
8180.639999999999,251100.0
8288.279999999999,353400.0
8395.92,353400.0
8503.56,167400.0
9687.599999999999,158100.0
10441.08,381300.0
10764.0,553350.0
15069.599999999999,32549.999999999996
